,the,and,of,a,to,in,for,that,with,is,on,as,are,from,by,has,this,was,it,at,new,his,their,have,be,an,not,but,or,more,he,about,who,i,will,we,can,its,you,her,our,they,also,been,which,these,into,were,one,said
you,0.0,4.312220581582002e-06,2.8748137210546685e-06,0.0,9.702496308559506e-06,7.187034302636671e-07,6.468330872373004e-06,1.6530178896064343e-05,6.468330872373004e-06,1.4374068605273342e-06,3.5935171513183356e-07,1.9764344332250846e-05,8.624441163164005e-06,1.4374068605273342e-06,0.0,0.0,3.5935171513183356e-07,0.0,1.4374068605273342e-06,0.0,0.0,0.0,0.0,5.03092401184567e-06,0.0,0.0,0.0,3.5935171513183358e-06,1.0780551453955006e-06,0.0,0.0,1.0780551453955006e-06,1.4374068605273342e-06,0.0,3.234165436186502e-06,3.5935171513183356e-07,1.006184802369134e-05,0.0,7.187034302636671e-07,0.0,0.0,0.0,0.0,0.0,3.5935171513183356e-07,0.0,0.0,7.187034302636671e-07,7.187034302636671e-07,0.0
her,0.0,6.144914328754353e-05,0.0001372723551803604,0.0,7.510450846255321e-05,7.366710160202588e-05,0.0001027745905277044,2.407656491383285e-05,7.582321189281689e-05,7.1870343026366716e-06,3.773193008884252e-05,7.1870343026366716e-06,7.187034302636671e-07,2.5513971774360184e-05,1.4733420320405176e-05,0.0,0.0,1.7967585756591679e-06,3.9528688664501694e-06,6.1089791572411706e-06,0.0,0.0,0.0,1.0780551453955006e-06,0.0,0.0,0.0,1.1858606599350507e-05,1.4374068605273342e-06,3.5935171513183356e-07,0.0,1.9764344332250846e-05,0.0,0.0,7.187034302636671e-07,0.0,3.5935171513183356e-07,0.0,0.0,2.8748137210546685e-06,0.0,0.0,0.0,0.0,3.5935171513183356e-07,0.0,1.9404992617119013e-05,3.5935171513183356e-07,2.8748137210546685e-06,3.5935171513183358e-06
our,0.0,4.060674380989719e-05,0.0002932309995475762,0.0,0.00012972596916259192,0.00015488058922182027,6.396460529346638e-05,3.4138412937524185e-05,5.534016413030237e-05,1.2936661744746008e-05,7.258904645663038e-05,7.1870343026366716e-06,1.7967585756591679e-06,2.623267520462385e-05,1.006184802369134e-05,3.5935171513183356e-07,7.187034302636671e-07,1.0780551453955006e-06,6.468330872373004e-06,2.515462005922835e-06,0.0,0.0,0.0,2.156110290791001e-06,1.4374068605273342e-06,0.0,0.0,9.343144593427672e-06,1.0780551453955006e-06,1.4374068605273342e-06,0.0,1.5811475465800678e-05,0.0,0.0,1.7967585756591679e-06,1.7967585756591679e-06,1.7967585756591679e-06,0.0,7.187034302636671e-07,0.0,0.0,0.0,0.0,0.0,3.5935171513183356e-07,0.0,1.7608234041459845e-05,0.0,7.187034302636671e-07,0.0
they,0.0,9.702496308559506e-06,7.187034302636671e-07,0.0,7.187034302636671e-07,6.1089791572411706e-06,1.0780551453955006e-06,5.965238471188437e-05,1.0780551453955006e-06,1.4374068605273342e-06,1.0780551453955006e-06,0.00022890704253897796,3.9528688664501694e-06,7.187034302636671e-07,0.0,0.0,0.0,3.5935171513183356e-07,7.187034302636671e-07,7.187034302636671e-07,3.5935171513183356e-07,0.0,0.0,0.0,7.187034302636671e-07,0.0,0.0,2.012369604738268e-05,2.515462005922835e-06,0.0,0.0,3.5935171513183356e-07,2.156110290791001e-06,0.0,3.234165436186502e-06,0.0,3.234165436186502e-06,0.0,0.0,3.5935171513183356e-07,0.0,0.0,0.0,0.0,1.1499254884218674e-05,0.0,0.0,7.187034302636671e-07,7.187034302636671e-07,3.5935171513183356e-07
also,0.0,2.515462005922835e-06,0.0,0.0,3.5935171513183356e-07,0.0,7.187034302636671e-07,1.4374068605273342e-06,0.0,4.276285410068819e-05,0.0,0.0,4.3122205815820026e-05,0.0,0.0,5.8933681281620704e-05,7.187034302636671e-07,7.546386017768504e-06,6.252719843293905e-05,0.0,0.0,0.0,0.0,3.557581979805152e-05,0.0,0.0,0.0,0.0013684113312220222,0.0,0.0,1.006184802369134e-05,0.0,3.5935171513183358e-06,2.156110290791001e-06,1.5092772035537009e-05,8.265089448032172e-06,2.731073035001935e-05,0.0,1.7967585756591679e-06,0.0,0.0,2.838878549541485e-05,0.0,0.0,1.7967585756591679e-06,0.0,0.0,9.343144593427672e-06,0.0,0.0
been,0.0,5.390275726977503e-06,0.0,0.0,2.8748137210546685e-06,7.187034302636671e-07,0.0,2.910748892567852e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003852250386213256,1.4374068605273342e-06,0.0,5.749627442109337e-06,0.0,0.0,0.0,0.0,0.0002580145314646565,0.0,0.0,4.312220581582002e-06,1.7967585756591679e-06,5.749627442109337e-06,0.0,2.8748137210546685e-06,0.0,1.904564090198718e-05,0.0,0.0,7.187034302636671e-07,0.0,0.0,1.4374068605273342e-06,0.0,0.0,2.515462005922835e-06,0.0,0.0,2.0842399477646347e-05,0.0,0.0,0.0,3.5935171513183356e-07,0.0
which,0.0,4.312220581582002e-06,2.7670082065151184e-05,0.0,8.265089448032172e-06,4.096609552502902e-05,1.4374068605273342e-06,3.5935171513183356e-07,4.312220581582002e-06,3.5935171513183356e-07,3.9528688664501694e-06,0.0,0.0,2.8748137210546685e-06,5.03092401184567e-06,0.0,0.0,0.0,0.0,2.156110290791001e-06,0.0,0.0,0.0,3.5935171513183356e-07,0.0,0.0,0.0,3.5935171513183356e-07,3.5935171513183356e-07,0.0,0.0,1.7967585756591679e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.5935171513183356e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1089791572411706e-06,0.0,3.5935171513183356e-07,0.0
these,0.0,1.7967585756591679e-06,0.00035180532911406506,0.0,6.899552930531204e-05,7.330774988689404e-05,2.4795268344096515e-05,6.504266043886188e-05,4.7075074682270194e-05,2.515462005922835e-06,5.56995158454342e-05,3.4138412937524185e-05,1.4374068605273342e-06,2.335786148356918e-05,2.120175119277818e-05,0.0,0.0,0.0,2.515462005922835e-06,5.749627442109337e-06,0.0,0.0,0.0,7.187034302636671e-07,0.0,0.0,3.5935171513183356e-07,1.4374068605273342e-06,3.5935171513183356e-07,1.0780551453955006e-06,0.0,3.234165436186502e-06,0.0,0.0,3.5935171513183356e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4374068605273342e-06,0.0,1.1499254884218674e-05,7.187034302636671e-07,1.7967585756591679e-06,0.0
into,0.0,7.546386017768504e-06,0.0,0.0,0.0,3.5935171513183356e-07,0.0,3.5935171513183356e-07,0.0,0.0,3.5935171513183356e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.983792878295839e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.156110290791001e-06,3.5935171513183356e-07,7.187034302636671e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8748137210546685e-06,1.0780551453955006e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
were,0.0,4.671572296713836e-06,2.8748137210546685e-06,0.0,0.0,3.5935171513183356e-07,0.0,3.306035779212869e-05,0.0,0.0,0.0,1.7967585756591679e-06,0.0,0.0,0.0,0.0,3.5935171513183356e-07,0.0,1.4374068605273342e-06,3.5935171513183356e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.156110290791001e-06,1.4374068605273342e-06,3.5935171513183356e-07,1.7967585756591679e-06,0.0,1.617082718093251e-05,1.0780551453955006e-06,0.0,1.3296013459877841e-05,0.0,0.0,1.7967585756591679e-06,0.0,0.0,2.838878549541485e-05,0.0,0.0,5.749627442109337e-06,1.7967585756591679e-06,0.0,0.0,3.5935171513183356e-07,3.5935171513183356e-07
one,4.671572296713836e-06,7.546386017768504e-06,3.341970950726052e-05,0.0,2.6951378634887515e-05,4.060674380989719e-05,1.7608234041459845e-05,5.03092401184567e-06,1.2217958314482341e-05,3.126359921646952e-05,1.3655365175009676e-05,4.8871833257929365e-05,0.0,1.6530178896064343e-05,3.9528688664501694e-06,3.234165436186502e-06,4.671572296713836e-06,1.5092772035537009e-05,8.624441163164005e-06,4.671572296713836e-06,0.0,3.5935171513183356e-07,0.0,0.0,2.515462005922835e-06,0.0,7.187034302636671e-07,1.4733420320405176e-05,1.0780551453955006e-06,0.0,0.0,2.8748137210546685e-06,0.0,0.0,1.7967585756591679e-06,3.5935171513183356e-07,1.7967585756591679e-06,0.0,0.0,1.0780551453955006e-06,0.0,0.0,0.0,3.5935171513183356e-07,7.187034302636671e-07,0.0,6.827682587504838e-06,0.0,0.0,1.1499254884218674e-05
said,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.187034302636671e-07,0.0,0.0,3.5935171513183356e-07,0.0,0.0,0.0,0.0,0.0,7.187034302636671e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2998509768437348e-05,0.0,7.187034302636671e-07,0.0,0.0,0.0,0.0,0.0,3.5935171513183356e-07,0.0,0.0,3.5935171513183356e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
