,the,and,of,a,to,in,for,that,with,is,on,as,are,from,by,has,this,was,it,at,new,his,their,have,be,an,not,but,or,more,he,about,who,i,will,we,can,its,you,her,our,they,also,been,which,these,into,were,one,said
have,0.0,0.0102,0.0016,0.0,0.0218,0.0,0.0,0.0804,0.0,0.0002,0.0,0.0008,0.0,0.0,0.0,0.0,0.0006,0.0,0.0006,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0088,0.0122,0.005,0.0002,0.0002,0.0,0.0578,0.0054,0.0108,0.0262,0.0112,0.0,0.0134,0.0,0.0,0.0224,0.001,0.0,0.0148,0.0002,0.0,0.0,0.0004,0.0
be,0.0,0.0134,0.0002,0.0,0.2682,0.0,0.0,0.0174,0.0002,0.0022,0.0,0.0002,0.0008,0.0,0.0,0.0002,0.0038,0.0006,0.0202,0.0,0.0,0.0,0.0,0.0038,0.0,0.0,0.03,0.0018,0.0006,0.0,0.0014,0.0,0.0004,0.0006,0.2338,0.0012,0.1694,0.0,0.0018,0.0,0.0,0.0056,0.0024,0.0002,0.0052,0.0,0.0,0.0006,0.0,0.0002
an,0.0,0.082,0.0582,0.0,0.0566,0.1274,0.0552,0.0058,0.0928,0.0546,0.017,0.0884,0.0042,0.0088,0.019,0.0058,0.003,0.0126,0.0418,0.0126,0.0,0.0,0.0,0.0034,0.004,0.0,0.0004,0.024,0.0102,0.0,0.0014,0.0028,0.0004,0.0002,0.0012,0.0002,0.0034,0.0,0.0014,0.0026,0.0,0.0002,0.0004,0.0028,0.0008,0.0,0.02,0.0004,0.0002,0.002
not,0.0,0.0096,0.0052,0.0,0.02,0.0018,0.0032,0.055,0.0026,0.2204,0.0014,0.0066,0.0632,0.0002,0.0,0.032,0.0096,0.0472,0.013,0.0002,0.0,0.0002,0.0,0.016,0.0,0.0,0.0,0.0066,0.0032,0.0002,0.0054,0.0002,0.0072,0.0006,0.0268,0.0074,0.003,0.0,0.0022,0.0016,0.0,0.0176,0.0,0.0,0.0044,0.0004,0.0012,0.015,0.0002,0.0
but,0.0,0.0002,0.0002,0.0,0.0,0.0004,0.0006,0.0,0.0,0.0012,0.0004,0.0,0.0002,0.0,0.0,0.0,0.0002,0.0002,0.0006,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0004,0.0,0.0,0.0004,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0
or,0.0,0.0,0.0002,0.0012,0.0012,0.0004,0.0006,0.0002,0.0006,0.0002,0.0008,0.0,0.0002,0.0002,0.0002,0.0,0.0,0.0,0.0006,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0
more,0.008,0.0654,0.011,0.1144,0.0436,0.0122,0.2252,0.0102,0.013,0.0596,0.0048,0.0282,0.019,0.0034,0.0044,0.0014,0.0008,0.0094,0.003,0.0006,0.0,0.0008,0.0002,0.0012,0.0054,0.0,0.001,0.0024,0.0034,0.0002,0.0004,0.0014,0.001,0.0,0.0008,0.0,0.0012,0.0006,0.0002,0.0002,0.0,0.0016,0.0,0.0128,0.0002,0.0,0.004,0.0028,0.0016,0.0
he,0.0,0.0068,0.0004,0.0,0.0,0.001,0.0,0.0374,0.0008,0.001,0.0004,0.065,0.0,0.0,0.0,0.0002,0.0004,0.0,0.0004,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0026,0.0008,0.0,0.0002,0.0,0.0004,0.0,0.0004,0.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0002,0.0004
about,0.0,0.0022,0.0012,0.0,0.001,0.0,0.0062,0.0004,0.0058,0.0138,0.0,0.0046,0.0008,0.0,0.0002,0.0002,0.0008,0.0012,0.007,0.0002,0.0002,0.0,0.0,0.0002,0.001,0.0,0.002,0.0134,0.0,0.0146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.0,0.0006,0.0022,0.0012,0.0,0.0,0.0,0.0004,0.0,0.0002
who,0.0014,0.0024,0.0062,0.0002,0.0006,0.0002,0.0006,0.0,0.0006,0.0004,0.001,0.0002,0.0,0.0004,0.0,0.0,0.0,0.0,0.0006,0.0002,0.0,0.0,0.0,0.0,0.0002,0.0,0.0002,0.0008,0.0014,0.0002,0.0,0.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0006,0.0
