,the,and,of,a,to,in,for,that,with,is,on,as,are,from,by,has,this,was,it,at,new,his,their,have,be,an,not,but,or,more,he,about,who,i,will,we,can,its,you,her,our,they,also,been,which,these,into,were,one,said
new,5.653626863085135e-05,1.7557847400885513e-05,3.353548853569133e-05,0.00022122887725115748,8.69113446343833e-05,1.9664789088991773e-05,1.2817228602646425e-05,4.565040324230233e-06,3.897842122996584e-05,5.267354220265654e-07,2.7916977367407965e-05,2.809255584141682e-06,6.145246590309929e-06,2.633677110132827e-06,1.2290493180619858e-06,0.0,3.037507600353194e-05,1.0534708440531308e-06,0.0,0.0,0.0,3.5115694801771026e-07,5.267354220265654e-06,7.023138960354205e-07,1.2290493180619858e-06,0.0,1.7557847400885513e-07,3.5115694801771026e-07,3.8627264281948125e-06,1.7557847400885513e-07,0.0,4.565040324230233e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.5115694801771026e-07,8.778923700442756e-07,1.2290493180619858e-06,0.0,3.5115694801771026e-07,0.0,8.778923700442756e-07,4.565040324230233e-06,2.1069416881062617e-06,1.7557847400885513e-07,1.7557847400885513e-07,0.0
his,0.0,3.142854684758507e-05,2.0893838407053762e-05,0.0,2.5810035679301705e-05,7.690337161587855e-05,2.7214663471372545e-05,4.038304902203668e-06,1.4573013342734975e-05,1.7557847400885513e-07,1.2817228602646425e-05,1.404627792070841e-06,0.0,1.264165012863757e-05,5.091775746256799e-06,1.7557847400885513e-07,0.0,1.2290493180619858e-06,7.023138960354205e-07,1.0534708440531308e-06,0.0,0.0,0.0,0.0,1.7557847400885513e-07,0.0,0.0,3.3359910061682475e-06,0.0,0.0,0.0,5.969668116301074e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7557847400885513e-07,0.0,0.0,0.0,5.267354220265654e-07,0.0,0.0,3.5115694801771026e-07
their,0.0,0.00018541086855335101,0.0004947801397569537,0.0,0.00026810832981152176,0.00054903388822569,0.00026986411455161036,0.00011833989148196836,0.00040839553054459706,1.334396402467299e-05,0.0005284912067666539,4.1260941392080955e-05,1.404627792070841e-06,0.00016837975657449207,4.8810815774461724e-05,1.5275327238770395e-05,1.7557847400885513e-07,8.778923700442756e-07,5.267354220265654e-07,0.00010165993645112712,0.0,0.0,0.0,9.094964953658696e-05,3.8627264281948125e-06,0.0,5.091775746256799e-06,9.305659122469322e-06,1.1237022336566728e-05,5.267354220265654e-07,0.0,0.00015205095849166853,1.7557847400885513e-07,0.0,1.7557847400885513e-07,0.0,0.0,3.5115694801771026e-07,1.404627792070841e-06,1.7557847400885513e-07,0.0,0.0,1.9313632140974063e-06,0.0,5.267354220265654e-07,0.0,3.458895937974446e-05,1.7557847400885513e-07,0.0,0.0
have,0.0,0.00020173966663617455,1.7557847400885513e-07,0.0,0.0005353387672529993,5.267354220265654e-07,1.7557847400885513e-07,8.849155090046299e-05,7.023138960354205e-07,1.7557847400885513e-07,1.7557847400885513e-07,1.7557847400885513e-07,0.0,0.0,0.0,0.0,3.5115694801771026e-07,0.0,1.7557847400885513e-06,0.0,0.0,0.0,0.0,1.7557847400885513e-07,1.7557847400885513e-07,0.0,0.00037468446353489685,1.0710286914540163e-05,5.003986509252371e-05,3.5115694801771026e-07,3.5115694801771026e-07,0.0,0.0002584515137410348,0.0004408775482362352,0.00010534708440531308,0.0002468633344564503,0.0005479804173816368,0.0,0.0002719710562397166,0.0,0.0,0.0002782918813040354,0.00020595355001238707,0.0,1.1061443862557873e-05,8.778923700442756e-07,0.0,0.0,1.7557847400885513e-07,0.0
be,0.0,0.0001251874519683137,0.0,0.0,0.0015895119252021656,0.0,0.0,2.4580986361239717e-06,0.0,3.5115694801771026e-07,0.0,0.0,1.7557847400885513e-07,1.7557847400885513e-07,0.0,0.0,8.778923700442756e-07,0.0,1.843573977092979e-05,0.0,0.0,0.0,0.0,1.7557847400885513e-07,0.0,0.0,0.0005327050901428664,1.7557847400885513e-07,9.130080648460467e-06,1.7557847400885513e-07,0.0,0.0,0.0,1.5802062660796963e-06,0.0002417715587101935,2.984834058150537e-06,0.00256116320036717,0.0,4.565040324230233e-06,0.0,0.0,3.687147954185958e-06,0.0002786430382520531,0.0,0.0,0.0,0.0,0.0,7.023138960354205e-07,0.0
an,0.0,3.9153999703974695e-05,0.00010464477050927766,0.0,7.444527297975457e-05,0.00011412600810575584,6.162804437710815e-05,1.4221856394717265e-05,8.884270784848069e-05,0.0004947801397569537,3.300875311366477e-05,0.000390310947721685,5.284912067666539e-05,2.0718259933044907e-05,1.87868967189475e-05,1.1939336232602148e-05,5.267354220265654e-07,2.4580986361239717e-05,1.7206690452867803e-05,2.3000780095160022e-05,0.0,0.0,0.0,6.759771249340923e-05,8.796481547843642e-05,0.0,4.793292340441745e-05,1.7557847400885513e-06,1.2817228602646425e-05,3.5115694801771026e-07,0.0,4.213883376212523e-06,0.0,0.0,0.0,0.0,1.7557847400885513e-07,1.7557847400885513e-07,5.618511168283364e-06,3.5115694801771026e-07,0.0,0.0,1.5099748764761542e-05,1.0183551492513598e-05,5.267354220265654e-07,0.0,1.0885865388549018e-05,2.984834058150537e-06,0.0,0.0
not,1.7557847400885513e-07,0.00019998388189608598,2.3878672465204297e-05,0.0,2.774139889339911e-05,1.0534708440531308e-06,7.549874382380771e-06,3.353548853569133e-05,1.5802062660796963e-06,0.0007814997878134142,3.5115694801771026e-07,4.916197272247943e-06,0.0004570307678450499,1.5802062660796963e-06,1.3519542498681845e-05,1.8260161296920933e-05,3.546685174978874e-05,4.8810815774461724e-05,9.656816070487032e-06,1.7557847400885513e-07,0.0,0.0,0.0,2.493214330925743e-05,3.5115694801771026e-07,0.0,0.0,3.213086074362049e-05,9.23542773286578e-05,3.5115694801771026e-07,1.7557847400885513e-07,2.984834058150537e-06,3.5115694801771026e-07,1.5802062660796963e-06,7.567432229781656e-05,2.2825201621151167e-06,7.19871743436306e-06,1.0007973018504742e-05,2.1069416881062617e-06,0.0,0.0,8.778923700442756e-07,8.427766752425047e-06,0.0,2.809255584141682e-06,0.0,0.0,1.3519542498681845e-05,3.5115694801771026e-07,0.0
but,0.0,0.0,1.404627792070841e-06,1.7557847400885513e-07,4.213883376212523e-06,4.740618798239088e-06,2.4580986361239717e-06,1.2114914706611003e-05,2.809255584141682e-06,1.5802062660796963e-06,4.038304902203668e-06,0.0,1.5802062660796963e-06,1.2290493180619858e-06,1.7557847400885513e-07,1.7557847400885513e-07,3.687147954185958e-06,0.0,3.002391905551423e-05,7.023138960354205e-07,1.5802062660796963e-06,0.0,0.0,3.1604125321593925e-06,2.984834058150537e-06,0.0,2.4580986361239717e-06,1.7557847400885513e-07,0.0,2.2825201621151167e-06,0.0,3.687147954185958e-06,0.0,1.7557847400885513e-07,0.0,0.0,7.023138960354205e-07,0.0,9.656816070487032e-06,2.633677110132827e-06,0.0,0.0,0.0,5.267354220265654e-07,0.0,0.0,1.7557847400885513e-07,1.7557847400885513e-07,3.1604125321593925e-06,0.0
or,1.7557847400885513e-07,0.0,1.7557847400885513e-06,1.7557847400885513e-06,6.145246590309929e-06,8.076609804407337e-06,3.687147954185958e-06,1.7557847400885513e-07,1.7557847400885513e-06,1.9313632140974063e-06,3.1604125321593925e-06,2.2825201621151167e-06,3.687147954185958e-06,1.7557847400885513e-06,1.7557847400885513e-07,1.7557847400885513e-07,3.5115694801771026e-07,1.7557847400885513e-07,1.4748591816743832e-05,2.633677110132827e-06,4.740618798239088e-06,2.1069416881062617e-06,0.0,7.023138960354205e-07,7.023138960354205e-07,0.0,1.404627792070841e-06,0.0,0.0,3.3359910061682475e-06,1.7557847400885513e-06,2.1069416881062617e-06,7.023138960354205e-07,1.7557847400885513e-07,5.267354220265654e-07,0.0,5.267354220265654e-07,0.0,9.656816070487032e-06,0.0,0.0,1.7557847400885513e-07,0.0,0.0,0.0,0.0,1.7557847400885513e-07,3.5115694801771026e-07,1.1412600810575583e-05,5.267354220265654e-07
more,6.391056453922327e-05,0.0002962008856529386,2.932160515947881e-05,0.0008174933749852295,0.00013238616940267677,3.616916564582416e-05,7.251390976565717e-05,8.603345226433902e-06,0.00012659207976038455,0.00013976046531104867,1.632879808282353e-05,3.125296837357621e-05,0.0004280603196335888,2.7916977367407965e-05,1.2290493180619858e-05,3.160412532159393e-05,2.2825201621151167e-06,4.565040324230233e-06,9.305659122469322e-05,7.023138960354205e-07,3.5115694801771026e-07,0.0,5.267354220265654e-07,0.00023580189059389244,0.00040681532427851733,0.0,3.1604125321593925e-06,3.5115694801771025e-06,1.3168385550664135e-05,0.0,0.0,1.9313632140974063e-06,0.0,0.0,1.7557847400885513e-07,1.7557847400885513e-07,2.809255584141682e-06,8.778923700442756e-07,1.703111197885895e-05,3.5115694801771026e-07,1.7557847400885513e-07,0.0,2.0893838407053762e-05,4.389461850221378e-06,0.0,5.267354220265654e-07,2.633677110132827e-06,1.2466071654628715e-05,9.481237596478177e-06,0.0
