,the,of,to,and,in,a,be,that,it,is,which,as,by,this,would,have,or,for,not,will,their,with,from,are,an,they,on,states,been,government,may,state,all,but,its,power,has,other,if,at,more,than,them,any,one,people,no,those,there,we
their,0.0,0.019635148308035096,0.010935059138585137,0.005653976630229929,0.024135446685878963,0.0,0.001326259946949602,0.004176610978520286,0.0006609385327164573,0.0015267175572519084,0.0024752475247524753,0.006322444678609061,0.014319809069212411,0.0,0.0,0.003911342894393741,0.0026954177897574125,0.02586206896551724,0.0,0.0,0.0,0.01340033500837521,0.021381578947368418,0.0,0.0,0.0,0.016304347826086956,0.0,0.0,0.0,0.0,0.0020964360587002098,0.009478672985781991,0.0025252525252525255,0.0,0.0,0.0,0.0,0.0027100271002710027,0.008130081300813007,0.0,0.003194888178913738,0.003401360544217687,0.0,0.0,0.003787878787878788,0.0,0.0,0.0,0.0
with,0.0,0.0,0.0,0.007161703731624576,0.0,0.0,0.0008841732979664014,0.0,0.004626569729015201,0.0030534351145038168,0.0016501650165016502,0.001053740779768177,0.0,0.0011061946902654867,0.004338394793926247,0.003911342894393741,0.005390835579514825,0.0,0.008733624454148471,0.0,0.0,0.0,0.0,0.001763668430335097,0.0,0.0,0.0,0.006696428571428571,0.0,0.01485148514851485,0.010845986984815618,0.0,0.0,0.007575757575757576,0.0,0.017587939698492462,0.002638522427440633,0.0,0.0,0.0027100271002710027,0.0,0.006389776357827476,0.023809523809523808,0.0,0.0,0.003787878787878788,0.0,0.0,0.0,0.0
from,0.0,0.0001392563709789723,0.0,0.006407840180927252,0.0,0.0,0.0004420866489832007,0.002386634844868735,0.001982815598149372,0.0022900763358778627,0.0033003300330033004,0.0073761854583772385,0.0,0.0011061946902654867,0.0010845986984815619,0.001303780964797914,0.01078167115902965,0.0014367816091954023,0.002911208151382824,0.0015015015015015015,0.0,0.0,0.0,0.001763668430335097,0.0,0.0,0.0,0.020089285714285712,0.0,0.012376237623762377,0.004338394793926247,0.012578616352201259,0.0,0.015151515151515152,0.0,0.002512562814070352,0.005277044854881266,0.0,0.0,0.0,0.003424657534246575,0.01597444089456869,0.013605442176870748,0.0,0.007246376811594203,0.011363636363636364,0.0,0.0,0.0,0.0
are,0.0,0.0,0.0002231644722160232,0.0033923859781379573,0.0,0.0,0.0,0.0011933174224343676,0.0013218770654329147,0.0,0.04372937293729373,0.0031612223393045306,0.0,0.0,0.0,0.0,0.004043126684636119,0.0014367816091954023,0.0,0.0,0.0,0.0,0.0,0.001763668430335097,0.0,0.16570327552986513,0.0,0.026785714285714284,0.0,0.009900990099009901,0.0,0.0041928721174004195,0.002369668246445498,0.0,0.0,0.002512562814070352,0.0,0.0,0.0,0.0,0.0,0.006389776357827476,0.013605442176870748,0.0,0.0,0.026515151515151516,0.0,0.0,0.15466666666666667,0.09523809523809523
an,0.0,0.010861996936359839,0.0073644275831287655,0.005277044854881266,0.004682997118155619,0.0,0.011936339522546418,0.0065632458233890216,0.0006609385327164573,0.02900763358778626,0.0008250825082508251,0.026343519494204423,0.023866348448687354,0.0,0.0,0.01694915254237288,0.009433962264150945,0.017241379310344827,0.0072780203784570605,0.0,0.0,0.01675041876046901,0.018092105263157895,0.003527336860670194,0.0,0.0,0.002717391304347826,0.004464285714285714,0.006211180124223603,0.0024752475247524753,0.0,0.0,0.0,0.007575757575757576,0.0,0.002512562814070352,0.010554089709762533,0.0029585798816568047,0.005420054200542005,0.018970189701897018,0.0,0.009584664536741214,0.003401360544217687,0.0,0.0,0.0,0.0,0.0,0.0026666666666666666,0.0
they,0.0,0.0,0.0,0.0022615906520919715,0.0,0.0,0.0,0.028639618138424822,0.001982815598149372,0.0,0.05528052805280528,0.03477344573234984,0.0,0.0011061946902654867,0.005422993492407809,0.002607561929595828,0.0013477088948787063,0.0,0.0,0.0015015015015015015,0.0,0.0,0.0,0.005291005291005291,0.0,0.0,0.0,0.004464285714285714,0.0,0.0,0.0,0.0,0.0,0.03787878787878788,0.0,0.002512562814070352,0.0,0.0029585798816568047,0.06775067750677506,0.0,0.0,0.022364217252396165,0.01020408163265306,0.0,0.0,0.015151515151515152,0.0,0.0,0.0,0.0
on,0.0,0.0,0.0,0.0041462495288352805,0.0,0.0,0.0004420866489832007,0.0011933174224343676,0.0013218770654329147,0.0015267175572519084,0.0,0.009483667017913592,0.0,0.0,0.0021691973969631237,0.0,0.005390835579514825,0.0,0.005822416302765648,0.0015015015015015015,0.0,0.0,0.0,0.0,0.0,0.0019267822736030828,0.0,0.0,0.0,0.0024752475247524753,0.0,0.0020964360587002098,0.002369668246445498,0.005050505050505051,0.0,0.005025125628140704,0.0,0.0,0.018970189701897018,0.0,0.003424657534246575,0.0,0.013605442176870748,0.0,0.0,0.003787878787878788,0.0,0.003194888178913738,0.0,0.0
states,0.013398533007334963,0.0006962818548948615,0.0,0.0011307953260459858,0.00036023054755043225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011933174224343676,0.0,0.0,0.0,0.005390835579514825,0.0028735632183908046,0.0,0.0,0.0,0.0,0.001644736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002369668246445498,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0136986301369863,0.0,0.0,0.0,0.0,0.0,0.0,0.02875399361022364,0.0,0.0
been,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006609385327164573,0.0,0.0,0.0,0.0,0.0,0.0,0.2907431551499348,0.0,0.0,0.017467248908296942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024752475247524753,0.0,0.0,0.0,0.0,0.0,0.0,0.48284960422163586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
government,0.010562347188264059,0.006545049436011698,0.0,0.0,0.00036023054755043225,0.012170385395537525,0.0,0.0017899761336515514,0.0,0.0,0.0008250825082508251,0.0,0.0,0.0011061946902654867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024752475247524753,0.0,0.0041928721174004195,0.004739336492890996,0.0,0.0024691358024691358,0.0,0.002638522427440633,0.0,0.0,0.0,0.0,0.0,0.0,0.008356545961002786,0.014492753623188406,0.0,0.0035211267605633804,0.0,0.0,0.0
may,0.0,0.0,0.0,0.002638522427440633,0.0,0.0,0.0,0.005369928400954654,0.0634500991407799,0.0,0.03382838283828383,0.004214963119072708,0.0,0.007743362831858407,0.0,0.0,0.0026954177897574125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04046242774566474,0.0,0.008928571428571428,0.0,0.009900990099009901,0.0,0.006289308176100629,0.0,0.0,0.0,0.007537688442211055,0.0,0.0,0.0,0.0,0.0,0.009584664536741214,0.01020408163265306,0.0,0.0,0.011363636363636364,0.0,0.0,0.026666666666666665,0.09523809523809523
